Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.69432861,-0.203838468,-0.840014696,-0.954794884,1.287947235
0.702354589,-0.076624513,-1.07574439,-1.199571609,1.613093102
0.710380569,0.169626594,-1.384858847,-1.413345337,1.985988985
0.718406548,0.418457747,-1.581257105,-1.627755165,2.307610841
0.726432528,0.571845233,-1.546970129,-1.763801098,2.414770768
0.734458507,0.602359355,-1.345780253,-1.687866211,2.241172378
0.742515004,0.683252573,-0.997836351,-1.510481834,1.93495913
0.750540984,0.88395071,-0.681529045,-1.361060143,1.760208911
0.758566964,1.15948391,-0.526345372,-1.24646759,1.781887718
0.766592943,1.416495204,-0.279641807,-1.099287987,1.814687929
0.774618923,1.734503508,-0.04987824,-0.957879067,1.982050091
0.782644902,2.014232635,0.123257816,-0.857457161,2.192614508
0.790670882,2.262385607,0.222116351,-0.823983192,2.417989373
0.798696861,2.404802322,0.218149483,-0.924191475,2.58549672
0.806753359,2.51455307,0.150832772,-1.023757935,2.719155747
0.814779338,2.465081215,0.071475267,-1.115515709,2.706678667
0.822805318,2.172127008,0.028365612,-1.125421524,2.446531004
0.830831297,1.825933456,-0.034306884,-1.087274551,2.125411936
0.838857277,1.523075581,-0.057593226,-0.982212067,1.813233782
0.846883256,1.199927092,-0.105798245,-0.870148659,1.485993601
0.854939753,0.934694648,-0.164684057,-0.758218765,1.214771838
0.862965733,0.760231495,-0.223244011,-0.730047226,1.077385152
0.870991713,0.611782491,-0.269119382,-0.751955986,1.006052118
0.879017692,0.548094153,-0.28183192,-0.76408577,0.981663637
0.887043672,0.530029774,-0.236745,-0.780873299,0.973007125
0.895069651,0.584454298,-0.148793161,-0.785643578,0.990435289
0.903095631,0.624914825,-0.060897112,-0.852576256,1.058826364
0.911152128,0.599566281,-0.035930395,-0.859632492,1.04868429
0.919178108,0.538596034,0.020877123,-0.849884033,1.006391779
0.927204087,0.479423523,0.049733043,-0.849750519,0.976932052
0.935230067,0.478173614,0.052127421,-0.892769814,1.014103157
0.943256046,0.444562733,0.049244642,-0.923780441,1.026368044
0.951282026,0.352612287,0.054849625,-0.933012962,0.998927972
0.959308005,0.27281481,0.100152612,-0.933886528,0.978060588
0.967333985,0.259739041,0.18693763,-0.856188774,0.914040078
0.975390482,0.258491814,0.335408866,-0.801971436,0.906904245
0.983416462,0.291594505,0.471515238,-0.811903954,0.983128682
0.991442441,0.373579264,0.57993108,-0.826029778,1.076200129
0.999468421,0.45900768,0.726049423,-0.901884079,1.245484126
1.0074944,0.518329322,0.808764339,-1.003786087,1.389370919
1.01552038,0.537908196,0.903609037,-1.093661308,1.517217709
1.023546359,0.47686249,0.993368149,-1.123989105,1.574017034
1.031572339,0.379313201,1.067339063,-1.090199471,1.572140599
1.039598319,0.204776317,1.052717924,-0.948700905,1.431845583
1.047654816,0.085398734,0.917039752,-0.757681847,1.192617554
1.055680795,-0.022741646,0.711732149,-0.615053177,0.940941149
1.063706775,-0.102568895,0.573461413,-0.48882103,0.76047641
1.071732754,-0.211961508,0.482895494,-0.350396156,0.633161279
1.079758734,-0.327299297,0.39866221,-0.199713707,0.553120197
1.087784714,-0.433754236,0.233450055,-0.023825645,0.493162576
1.095810693,-0.431929648,0.111907363,0.112915993,0.460256994
1.103836673,-0.350698352,-0.014964342,0.150485039,0.381914928
1.11189317,-0.304989576,-0.108275414,0.235474587,0.400238039
1.119919149,-0.416988194,-0.1971699,0.363824844,0.587472247
1.127945129,-0.519491375,-0.285043955,0.438694,0.737274556
1.135971108,-0.654946268,-0.400632024,0.476512909,0.903617831
1.143997088,-0.670282006,-0.547742367,0.478768349,0.989201092
1.152023068,-0.647287428,-0.609013081,0.569935799,1.055795796
1.160079564,-0.749909401,-0.666442037,0.785561562,1.274211939
1.168105544,-0.966071725,-0.628806949,1.091948509,1.587779677
1.176131524,-1.294372797,-0.545605779,1.611177444,2.137517102
1.184157503,-1.359926105,-0.467020869,2.158979416,2.593973712
1.192183483,-1.233309984,-0.601338148,2.443346977,2.802250085
1.200209463,-1.172715187,-0.956379831,2.708476067,3.102541844
1.208265959,-0.859502971,-1.362504244,2.815250397,3.243577958
1.216291938,-0.427268326,-1.580441594,2.588915825,3.063142015
1.224317918,0.118992895,-1.909071684,2.294604301,2.987293575
1.232343897,0.446946681,-1.946125627,2.104462624,2.9010221
1.240369878,0.438619167,-2.026611328,1.776288033,2.73033687
1.248426374,0.468432903,-1.948184967,1.923077583,2.777243497
1.256452354,0.52409637,-1.73777914,2.444454193,3.044652632
1.264478333,0.575559616,-1.181955338,3.209496498,3.468307233
1.272504313,0.504293382,-0.766161501,3.434224129,3.554604145
1.280530292,0.407527983,-0.485933423,3.328303337,3.38818734
1.288556272,0.616322935,-0.572805166,2.713526726,2.840983458
1.296612769,1.247542858,-0.345903873,1.966274261,2.354197771
1.304638748,1.696099997,-0.353677988,1.009678841,2.005316603
1.312664728,1.566892743,-0.722960949,-0.175392151,1.734528123
1.320690708,0.974094093,-1.585502863,-0.952926636,2.09063335
1.328716687,0.490444243,-2.52211237,-1.538464546,2.99473864
1.336742667,0.416442215,-3.147485733,-2.314778805,3.929159131
1.344799164,0.434255064,-3.741913319,-2.910069942,4.760147037
1.352825143,0.233605892,-4.46076107,-3.265971661,5.533491838
1.360851123,-0.314692855,-4.966799736,-3.704959393,6.204422238
1.368877103,-0.71536541,-4.52994442,-4.220346451,6.23245283
1.376903082,-1.13506031,-2.943980455,-3.957691193,5.061492113
1.384959579,-1.883813024,-1.199299335,-2.128886223,3.085324449
1.392985559,-2.306540489,-0.375828028,-1.372182846,2.710029796
1.401011538,-1.99115169,-0.200574279,-1.074607849,2.271496671
1.409037518,-1.940029144,-0.213771701,-0.733938217,2.085204241
1.417063497,-1.594932795,-0.433683038,-0.235849381,1.669585735
1.425089477,-0.913688183,-1.159096718,0.469449043,1.548778132
1.433115457,-0.366303146,-1.868284106,1.203206062,2.252191893
1.441141436,0.29205063,-2.638821602,1.14882946,2.892832893
1.449167416,0.524207413,-2.936044216,0.792346001,3.085929558
1.457193395,0.714767993,-2.68237114,0.426052094,2.808474426
1.465249892,0.853439331,-2.035508394,0.096376419,2.209285298
1.473275872,0.903800964,-1.465352535,-0.153383255,1.728479291
1.481301852,0.97786504,-0.976773262,-0.740936279,1.568213191
1.489327831,0.597904921,-0.538293958,-1.395880699,1.611128054
1.497353811,0.03048563,-0.133524418,-1.750691414,1.756040595
1.50537979,-0.4172737,0.050793648,-2.383470535,2.420253939
1.51340577,-0.612667978,-0.145746708,-2.933697224,3.000530545
1.521431749,-0.903307021,-0.249396086,-3.198493481,3.332945023
1.529457729,-1.176680088,-0.340212584,-3.317929745,3.536803419
1.537483709,-1.562190294,-0.395632863,-3.20334959,3.585862863
1.545540206,-1.895152092,-0.236820698,-2.378119469,3.05010454
1.553566185,-0.533683658,-0.713585377,-1.502135754,1.746549215
1.561592165,1.188271165,-1.929983854,-1.993519783,3.018434555
1.569618144,1.070710897,-2.734514236,-2.276186466,3.715510027
1.577644124,0.262263537,-2.755324125,-1.991068363,3.409537568
1.585670103,-0.148846626,-2.518987179,-2.30853653,3.420057402
1.593696083,-0.297647238,-1.979498506,-2.627950668,3.30350313
1.60175258,0.109537602,-1.322905064,-2.814089298,3.111458641
1.60977856,0.707794428,-1.033804297,-3.057464123,3.304211122
1.617804539,1.364315033,-0.993725181,-3.862389565,4.21507988
1.625830519,0.928214312,-0.92553699,-3.748085499,3.970685764
1.633856498,0.486517668,-0.861534178,-2.855587006,3.02213794
1.641882478,0.990301132,-1.011681318,-2.23076582,2.642065776
1.649908458,1.966908455,-1.399927855,-2.041923046,3.161957715
1.657964955,2.639070034,-1.641312957,-2.088034153,3.744126799
1.665990934,3.039067745,-1.693720937,-1.634394646,3.843939285
1.674016914,3.108733177,-1.569742322,-1.685248852,3.868898631
1.682042893,3.127103806,-1.593992472,-1.908047199,3.995026198
1.690068873,2.637596607,-1.883788824,-1.83031559,3.722315322
1.698125369,2.323609829,-2.294153452,-1.901572227,3.77866109
1.706151349,2.157510757,-2.561128855,-2.108739853,3.957400339
1.714177329,2.121490955,-2.649686098,-2.421597481,4.169615648
1.722203309,2.159945011,-2.74131465,-2.737620831,4.435621295
1.730229288,1.97182703,-2.875188351,-2.530834675,4.30812419
1.738285784,1.899938583,-2.83217001,-1.934521675,3.920883535
1.746311764,2.577919483,-2.546518803,-1.12173605,3.793246451
1.754337743,3.883862495,-2.283521891,-0.018247128,4.505462581
1.762363723,5.356832504,-2.572449684,1.195435047,6.061535846
1.770389703,6.417746544,-3.615914822,1.591346741,7.536225524
1.778415682,6.67298317,-4.511949539,1.332213402,8.164630155
1.786472179,6.483475685,-5.408403873,0.901387692,8.491100588
1.794498159,5.989582062,-5.992856979,0.531314373,8.489506641
1.802524138,5.246086121,-6.267445087,0.085006952,8.173708686
1.810550118,4.793103218,-5.526246071,-0.261012793,7.319929082
1.818576098,3.568987846,-5.394935608,-0.130148411,6.469926048
1.826632595,2.242014885,-5.296035767,0.131203651,5.752550737
1.834658574,1.406367302,-4.78847599,0.440831184,5.01016002
1.842684554,0.936034203,-3.864302635,0.809169292,4.057554661
1.850710533,0.516407013,-2.985817671,1.269004583,3.285141702
1.858736513,0.031096458,-2.438258648,1.734375,2.992345044
1.86679301,-0.276083946,-2.054155827,1.950864196,2.846339687
1.874818989,-0.362527847,-1.658971667,2.088247299,2.691540491
1.882844969,-0.386825562,-1.23856771,2.012225628,2.394313255
1.890870949,-0.457221985,-1.037407994,1.965600371,2.269108219
1.898927445,-0.669130325,-1.080181837,1.905994296,2.290707849
1.906953425,-0.785032272,-1.218662977,1.860523224,2.35859318
1.914979405,-0.859797478,-1.342050552,1.859259605,2.448917652
1.923005384,-0.911916733,-1.511333108,1.924867392,2.611672714
1.931031364,-0.99535656,-1.777144194,2.020992041,2.869387564
1.93908786,-1.010520935,-2.051831722,2.097217321,3.103141387
1.94711384,-0.878960609,-2.371639013,2.112356901,3.295344449
1.955139819,-0.825832367,-2.710175037,2.029904127,3.48533479
1.963165799,-0.867728233,-2.877289295,1.849978447,3.529046079
1.971222296,-1.030517578,-3.129399776,1.608810544,3.666521622
1.979248275,-1.062113762,-3.261443138,1.335090041,3.680701347
1.987274255,-0.840256691,-3.202783108,1.105378866,3.490804117
1.995300235,-0.606609345,-3.041590691,1.003782511,3.259881617
2.003326214,-0.332879067,-2.827259541,0.888652146,2.982265518
2.011382711,-0.165505409,-2.601359844,0.838753283,2.738242529
2.019408691,-0.155109406,-2.344127178,0.820227444,2.488325585
2.02743467,-0.141607285,-2.133573055,0.814352989,2.288090338
2.03546065,-0.177609444,-1.937348723,0.840942919,2.119445726
2.043486629,-0.325454712,-1.733826518,0.909609616,1.984808509
2.051512609,-0.434346199,-1.60150218,1.057422876,1.967640463
2.059569106,-0.60955143,-1.464830518,1.316574216,2.061710226
2.067595086,-0.887102127,-1.308833003,1.604245424,2.252464738
2.075621065,-1.142061234,-1.120718002,1.814368844,2.419141791
2.083647045,-1.417468071,-0.859586239,2.092206001,2.669350143
2.091673024,-1.521861076,-0.595337153,2.3192029,2.837109366
2.099699004,-1.442943573,-0.33403492,2.50409174,2.909319667
2.107755501,-1.29330349,-0.069114447,2.604707718,2.908936751
2.115781481,-1.115809441,0.135379076,2.662106276,2.889665729
2.12380746,-0.841449738,0.260839224,2.659618855,2.801722187
2.13183344,-0.549304962,0.235252619,2.547476053,2.616622628
2.139859419,-0.325686455,0.206541538,2.37528944,2.406393775
2.147885399,-0.137446404,0.194906473,2.161931276,2.175046411
2.155941895,-0.005423546,0.228767872,2.006332874,2.019340426
2.163967874,-0.034521103,0.368941307,1.816246271,1.853661218
2.171993855,-0.12778759,0.508285999,1.610271931,1.693416669
2.180019835,-0.093016624,0.643165827,1.452453256,1.591205465
2.188045814,0.045676231,0.786450863,1.312322259,1.530614579
