"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.311406667E-1,4.732914689E-1,6.560130112E-1,-1.446649100E0,1.657453318E0
6.411966666E-1,7.121914512E-1,9.654805541E-1,-1.268173952E0,1.745747558E0
6.512526666E-1,8.039325106E-1,1.188144719E0,-6.322372091E-1,1.567711467E0
6.613076666E-1,8.301309603E-1,1.117860894E0,2.261843348E-1,1.410634518E0
6.713636667E-1,8.918193778E-1,9.392994998E-1,9.784245354E-1,1.623249803E0
6.814196666E-1,8.992143515E-1,7.536594661E-1,1.448324327E0,1.863929290E0
6.914746666E-1,8.242776051E-1,5.872171569E-1,1.372760759E0,1.705499827E0
7.015306667E-1,7.905201674E-1,4.061559315E-1,1.042286655E0,1.369761383E0
7.115866666E-1,6.730238771E-1,1.829821819E-1,8.598166895E-1,1.107126171E0
7.216426666E-1,4.934476984E-1,3.534641862E-2,5.648258293E-1,7.508450025E-1
7.316976666E-1,1.390011799E-1,-2.089552215E-1,4.748032665E-1,5.370491174E-1
7.417536667E-1,-3.011286825E-1,-5.088662213E-1,7.515899903E-1,9.563005950E-1
7.518096666E-1,-6.826288059E-1,-7.902741458E-1,1.205045072E0,1.594568574E0
7.618646666E-1,-7.506307545E-1,-9.852285017E-1,1.644316564E0,2.058615722E0
7.719206667E-1,-5.786083013E-1,-9.960355449E-1,1.836405199E0,2.167777301E0
7.819766667E-1,-3.445495212E-1,-9.716604763E-1,1.764766282E0,2.043829368E0
7.920316666E-1,-2.089312479E-1,-8.640948779E-1,1.582766433E0,1.815340686E0
8.020876666E-1,-1.221647072E-1,-7.080808586E-1,9.593000472E-1,1.198565517E0
8.121436667E-1,-5.637183666E-2,-5.117049714E-1,1.053621483E-1,5.254721154E-1
8.221986666E-1,7.998113930E-2,-5.770039715E-1,-4.493386424E-1,7.356872850E-1
8.322546666E-1,5.639814913E-2,-5.257315647E-1,-1.471409719E0,1.563528379E0
8.423106666E-1,-2.947429383E-1,-1.262031744E0,-2.637894158E0,2.939061604E0
8.523666667E-1,-5.924603552E-1,-1.880354626E0,-3.630242084E0,4.131028973E0
8.624216666E-1,-1.117554062E0,-1.566671679E0,-3.634815191E0,4.112817611E0
8.724776666E-1,-1.086232282E0,-4.695434402E-1,-2.384108042E0,2.661642870E0
8.825336667E-1,-2.811671653E-1,8.483014023E-1,-7.403393626E-2,8.967448175E-1
8.925886666E-1,8.865007505E-1,6.741233730E-1,1.620321345E0,1.966155427E0
9.026446666E-1,1.830785733E0,-4.724651843E-1,2.200326546E0,2.901109556E0
9.127006666E-1,2.075050243E0,-1.509218839E0,2.671053134E0,3.703795331E0
9.227556667E-1,1.232231117E0,-1.727095888E0,3.006419018E0,3.679647951E0
9.328116666E-1,1.604291788E-1,-1.031206693E0,3.124351510E0,3.294039636E0
9.428676666E-1,-3.212103599E-1,-4.617132510E-1,2.649333651E0,2.708380331E0
9.529226667E-1,-2.884954807E-1,7.923360019E-2,2.218596756E0,2.238677996E0
9.629786666E-1,-9.820486397E-2,5.112006125E-1,1.943219211E0,2.011733373E0
9.730346666E-1,-1.116373801E-1,4.694243398E-1,1.645975419E0,1.715242605E0
9.830906666E-1,-1.217437077E-1,1.529639472E-1,1.148693701E0,1.165211019E0
9.931456667E-1,-7.849273056E-2,-2.160193523E-2,3.079664165E-1,3.185452339E-1
1.003201667E0,-1.847670445E-1,7.945412245E-2,-5.021045011E-1,5.408888503E-1
1.013257667E0,-2.905227104E-1,4.847233602E-1,-1.554955906E0,1.654463070E0
1.023312667E0,-4.919695222E-1,9.695016112E-1,-2.032568175E0,2.305059819E0
1.033368667E0,-5.181992546E-1,1.287332646E0,-1.805633642E0,2.277294153E0
1.043424667E0,-6.775642401E-1,1.156850859E0,-1.160806208E0,1.773377643E0
1.053479667E0,-5.102245295E-1,6.997361510E-1,5.551814318E-2,8.677799351E-1
1.063535667E0,-1.890898910E-1,1.877432773E-1,1.784613487E0,1.804396803E0
1.073591667E0,-1.853508890E-1,-2.679682089E-1,3.074881142E0,3.092095722E0
1.083646667E0,-1.212955186E-1,-7.382760995E-1,3.324665424E0,3.407809323E0
1.093702667E0,-1.229763007E-1,-9.440066546E-1,2.771563262E0,2.930500751E0
1.103758667E0,-2.511852747E-1,-1.128076565E0,1.828575193E0,2.163177758E0
1.113813667E0,-3.683003265E-1,-1.782252673E0,9.759932631E-1,2.065098683E0
1.123869667E0,-2.275188155E-1,-2.671863558E0,1.772443092E-1,2.687384458E0
1.133925667E0,-1.248656823E-1,-2.851363138E0,-5.404686677E-1,2.904818336E0
1.143981667E0,-2.742882085E-1,-2.157399797E0,-1.216127885E0,2.491701214E0
